4233 action,index
   4 billable_customer_id,695
   2 billable_customer_id,696
   3 billable_customer_id,697
   7 billable_customer_id,70
   9 billable_customer_id,700
   4 billable_customer_id,701
  17 billable_customer_id,702
   7 billable_customer_id,703
   2 billable_customer_id,705
  39 billable_customer_id,709
   2 billable_customer_id,71
   2 billable_customer_id,713
   6 billable_customer_id,714
  26 billable_customer_id,715
   2 billable_customer_id,717
   1 billable_customer_id,724
   3 billable_customer_id,727
   1 billable_customer_id,73
   3 billable_customer_id,731
   1 billable_customer_id,738
   9 billable_customer_id,740
   7 billable_customer_id,742
   8 billable_customer_id,744
   6 billable_customer_id,746
  39 billable_customer_id,749
  18 billable_customer_id,750
  12 billable_customer_id,751
   8 billable_customer_id,752
   5 billable_customer_id,753
   5 billable_customer_id,754
   6 billable_customer_id,755
   3 billable_customer_id,758
   5 billable_customer_id,760
   8 billable_customer_id,761
   2 billable_customer_id,767
   4 billable_customer_id,768
  13 billable_customer_id,769
   9 billable_customer_id,770
   1 billable_customer_id,771
   3 billable_customer_id,772
  22 billable_customer_id,778
  13 billable_customer_id,780
  22 billable_customer_id,781
   7 billable_customer_id,782
  18 billable_customer_id,785
  10 billable_customer_id,786
   5 billable_customer_id,787
   4 billable_customer_id,789
   1 billable_customer_id,79
  12 billable_customer_id,792
  17 billable_customer_id,795
   9 billable_customer_id,796
  16 billable_customer_id,797
  10 billable_customer_id,798
   3 billable_customer_id,799
  10 billable_customer_id,80
   5 billable_customer_id,801
  11 billable_customer_id,802
  11 billable_customer_id,804
   1 billable_customer_id,807
   1 billable_customer_id,808
   2 billable_customer_id,809
   8 billable_customer_id,811
  12 billable_customer_id,812
   4 billable_customer_id,813
   1 billable_customer_id,814
   3 billable_customer_id,815
   3 billable_customer_id,816
  21 billable_customer_id,818
   3 billable_customer_id,819
  35 billable_customer_id,82
   1 billable_customer_id,821
   3 billable_customer_id,823
   9 billable_customer_id,826
   2 billable_customer_id,828
   4 billable_customer_id,829
   9 billable_customer_id,83
   4 billable_customer_id,830
  10 billable_customer_id,831
   1 billable_customer_id,832
   3 billable_customer_id,833
   3 billable_customer_id,834
   2 billable_customer_id,84
   8 billable_customer_id,840
   5 billable_customer_id,841
   6 billable_customer_id,842
   6 billable_customer_id,843
   7 billable_customer_id,844
  11 billable_customer_id,845
   3 billable_customer_id,846
   5 billable_customer_id,847
  14 billable_customer_id,848
   6 billable_customer_id,849
   6 billable_customer_id,850
   6 billable_customer_id,851
   6 billable_customer_id,852
   2 billable_customer_id,853
   4 billable_customer_id,854
   3 billable_customer_id,856
  14 billable_customer_id,857
   2 billable_customer_id,858
   5 billable_customer_id,859
   8 billable_customer_id,88
  17 billable_customer_id,9
   1 billable_customer_id,90
  28 billable_customer_id,91
   8 billable_customer_id,92
  13 billable_customer_id,97
2451 click_date,
2450 commit,Search
   1 commit,search
4233 controller,insertion_orders
2450 end_date_after,
   1 end_date_after,July 1, 2011
2450 end_date_before,
   1 end_date_before,July 2, 2011
2451 forecast_only_value,both
1182 io_name,
   1 io_name,0.43
   3 io_name,1134522
   1 io_name,4161
   1 io_name,4305
   1 io_name,4317
   1 io_name,4435
   2 io_name,4624
   5 io_name,Accor
   2 io_name,AeroMexico
   1 io_name,AmericInn
   1 io_name,America;s Best Value
   1 io_name,American Airlines
   1 io_name,American Airlines Vacations
   2 io_name,American Express 
  15 io_name,American Express Travel
   1 io_name,American Express Vacations
   1 io_name,American air 
   1 io_name,American air vacations
   1 io_name,AmericanAirUS
   1 io_name,AmericanAirUSFFD
   1 io_name,AmericanCAMeta
   1 io_name,Americanair
   1 io_name,Americas Best Value
   3 io_name,Apple Vacations
   1 io_name,Apple Vacations April 2011
   2 io_name,AsiaRooms
   3 io_name,AsiaRooms Trial Campaign
   4 io_name,Atlantis
   1 io_name,Atlantis.com
   1 io_name,BBplanet
   5 io_name,Barcelo ES Meta Campaign
   6 io_name,Baymont
   1 io_name,Beach House Hotel Half Moon Bay April 2011
   1 io_name,Beach House Hotel Half Moon Bay Revised 2011
   1 io_name,Beach House Hotel hermosa beach revised
   1 io_name,Beach House Hotel hermosa revised
   4 io_name,Best Western
   1 io_name,Best western 
   1 io_name,Bestwestern 
   1 io_name,Blue hawaii 
   1 io_name,Booking Buddy
   1 io_name,Booking.com
   6 io_name,Booking.com - Dec09/May10 insertion order
   1 io_name,Booking.com - Dec09/May10 insertion order for Booking.co
   1 io_name,Booking.com - Dec09/May10 insertion order for Booking.com bv
   1 io_name,Booking.com - June 10 IO
   1 io_name,Booking.com - Q3- 2010 IO
   1 io_name,BookingBuddydeals
   2 io_name,Bookit
   2 io_name,British Airways
   1 io_name,CX
   1 io_name,CarRentals.com
   1 io_name,Carlson Lake
   2 io_name,Carlson Lake Powell June/July IO 
   1 io_name,Carlson Lake powell june
   5 io_name,Charlestown
   1 io_name,Charlestowne
   1 io_name,Charlestowne Hotels
   7 io_name,Cheap Caribbean
   1 io_name,Cheap Caribbean 
   1 io_name,CheapOAir
   1 io_name,Cheaptickets
   2 io_name,Cheaptickets 2011
   1 io_name,Choice
   1 io_name,Choice 
   1 io_name,Choice Ca
   5 io_name,Choice Canada
   4 io_name,Choice Hotels
   4 io_name,Choice Hotels Canada
